subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S005,mullerlyer,long,30,0.5,q_lower,0.7940663608164112,0.5667199999999888,add_len,dczBDAL_sV
S005,mullerlyer,long,30,0.7,q_lower,1.0890982950872816,0.5667199999999888,add_len,dczBDAL_sV
S005,mullerlyer,long,30,0.9,q_lower,1.7693617056628337,0.5667199999999888,add_len,dczBDAL_sV
S005,mullerlyer,long,40,0.1,q_lower,0.44963249869078104,0.5963599999999933,add_len,dczBDAL_sV
S005,mullerlyer,long,40,0.3,q_lower,0.5878480080313101,0.5963599999999933,add_len,dczBDAL_sV
S005,mullerlyer,long,40,0.5,q_lower,0.7581575186089131,0.5963599999999933,add_len,dczBDAL_sV
S005,mullerlyer,long,40,0.7,q_lower,1.0365875643181581,0.5963599999999933,add_len,dczBDAL_sV
S005,mullerlyer,long,40,0.9,q_lower,1.7017523406443404,0.5963599999999933,add_len,dczBDAL_sV
S005,mullerlyer,long,50,0.1,q_lower,0.4540471231091851,0.5363999999999886,add_len,dczBDAL_sV
S005,mullerlyer,long,50,0.3,q_lower,0.5995031113489374,0.5363999999999886,add_len,dczBDAL_sV
S005,mullerlyer,long,50,0.5,q_lower,0.780442886886876,0.5363999999999886,add_len,dczBDAL_sV
S005,mullerlyer,long,50,0.7,q_lower,1.0713927978107893,0.5363999999999886,add_len,dczBDAL_sV
S005,mullerlyer,long,50,0.9,q_lower,1.7527977623359499,0.5363999999999886,add_len,dczBDAL_sV
S005,mullerlyer,long,60,0.1,q_lower,0.3968113717231328,0.5939999999999913,add_len,dczBDAL_sV
S005,mullerlyer,long,60,0.3,q_lower,0.5111607521364655,0.5939999999999913,add_len,dczBDAL_sV
S005,mullerlyer,long,60,0.5,q_lower,0.6628317685997419,0.5939999999999913,add_len,dczBDAL_sV
S005,mullerlyer,long,60,0.7,q_lower,0.9269378579567917,0.5939999999999913,add_len,dczBDAL_sV
