participant,bias_source,bias_direction,rep,d,ccrit
146,baserate,short,0.7866666666666666,1.7416508212495576,-0.2371854098450778
147,payoff,long,-10.8,1.2077097233931753,-0.060182081397767484
147,payoff,short,-11.466666666666667,1.538130663508573,-0.22539255145546633
148,baserate,long,-15.04,2.3812388683246954,-0.42923682447592204
148,baserate,short,-26.08,1.9282396696730753,-0.0646849271693038
149,payoff,long,9.653333333333334,1.7007604460498404,0.14407766018483265
149,payoff,short,-6.12,1.9434301270773684,-0.34878934032859643
150,baserate,long,2.88,1.5443679589659056,0.5729826546936858
150,baserate,short,0.013333333333333334,1.5668648078351273,-0.9157452561937348
151,baserate,long,3.6666666666666665,0.8823676904166174,-0.19245615557139223
151,baserate,short,-11.093333333333334,2.1015729338629194,-1.3177805923364123
